mode,benchmark,metric,bytes,value
container,bandwidth,bandwidth_MBps,1,0.47
container,bandwidth,bandwidth_MBps,2,0.97
container,bandwidth,bandwidth_MBps,4,1.96
container,bandwidth,bandwidth_MBps,8,3.88
container,bandwidth,bandwidth_MBps,16,7.66
container,bandwidth,bandwidth_MBps,32,15.37
container,bandwidth,bandwidth_MBps,64,30.42
container,bandwidth,bandwidth_MBps,128,56.93
container,bandwidth,bandwidth_MBps,256,118.22
container,bandwidth,bandwidth_MBps,512,216.19
container,bandwidth,bandwidth_MBps,1024,402.13
container,bandwidth,bandwidth_MBps,2048,755.48
container,bandwidth,bandwidth_MBps,4096,1323.42
container,bandwidth,bandwidth_MBps,8192,2098.22
container,bandwidth,bandwidth_MBps,16384,2502.83
container,bandwidth,bandwidth_MBps,32768,2678.38
container,bandwidth,bandwidth_MBps,65536,2892.66
container,bandwidth,bandwidth_MBps,131072,2839.32
container,bandwidth,bandwidth_MBps,262144,3860.87
container,bandwidth,bandwidth_MBps,524288,4154.85
container,bandwidth,bandwidth_MBps,1048576,3327.86
container,bandwidth,bandwidth_MBps,2097152,3340.18
container,bandwidth,bandwidth_MBps,4194304,3384.77
container,bandwidth,bandwidth_MBps,1,0.46
container,bandwidth,bandwidth_MBps,2,0.94
container,bandwidth,bandwidth_MBps,4,1.90
container,bandwidth,bandwidth_MBps,8,3.85
container,bandwidth,bandwidth_MBps,16,7.79
container,bandwidth,bandwidth_MBps,32,15.56
container,bandwidth,bandwidth_MBps,64,30.48
container,bandwidth,bandwidth_MBps,128,56.92
container,bandwidth,bandwidth_MBps,256,116.43
container,bandwidth,bandwidth_MBps,512,213.29
container,bandwidth,bandwidth_MBps,1024,405.95
container,bandwidth,bandwidth_MBps,2048,766.92
container,bandwidth,bandwidth_MBps,4096,1321.30
container,bandwidth,bandwidth_MBps,8192,2087.55
container,bandwidth,bandwidth_MBps,16384,2496.95
container,bandwidth,bandwidth_MBps,32768,2684.99
container,bandwidth,bandwidth_MBps,65536,2069.35
container,bandwidth,bandwidth_MBps,131072,2579.25
container,bandwidth,bandwidth_MBps,262144,2897.25
container,bandwidth,bandwidth_MBps,524288,3273.89
container,bandwidth,bandwidth_MBps,1048576,3601.49
container,bandwidth,bandwidth_MBps,2097152,3699.84
container,bandwidth,bandwidth_MBps,4194304,3557.36
container,bandwidth,bandwidth_MBps,1,0.45
container,bandwidth,bandwidth_MBps,2,0.92
container,bandwidth,bandwidth_MBps,4,1.83
container,bandwidth,bandwidth_MBps,8,3.69
container,bandwidth,bandwidth_MBps,16,7.32
container,bandwidth,bandwidth_MBps,32,14.42
container,bandwidth,bandwidth_MBps,64,30.05
container,bandwidth,bandwidth_MBps,128,52.99
container,bandwidth,bandwidth_MBps,256,112.35
container,bandwidth,bandwidth_MBps,512,211.91
container,bandwidth,bandwidth_MBps,1024,407.29
container,bandwidth,bandwidth_MBps,2048,764.03
container,bandwidth,bandwidth_MBps,4096,1320.41
container,bandwidth,bandwidth_MBps,8192,2077.03
container,bandwidth,bandwidth_MBps,16384,2485.46
container,bandwidth,bandwidth_MBps,32768,2675.62
container,bandwidth,bandwidth_MBps,65536,2790.75
container,bandwidth,bandwidth_MBps,131072,2497.30
container,bandwidth,bandwidth_MBps,262144,2781.31
container,bandwidth,bandwidth_MBps,524288,3267.23
container,bandwidth,bandwidth_MBps,1048576,3773.21
container,bandwidth,bandwidth_MBps,2097152,3607.38
container,bandwidth,bandwidth_MBps,4194304,3458.55
